Survived,Pclass,Sex,Siblings/Spouses Aboard
0,3,male,1
1,1,female,1
1,3,female,0
1,1,female,1
0,3,male,0
0,3,male,0
0,1,male,0
0,3,male,3
1,3,female,0
1,2,female,1
1,3,female,1
1,1,female,0
0,3,male,0
0,3,male,1
0,3,female,0
1,2,female,0
0,3,male,4
1,2,male,0
0,3,female,1
1,3,female,0
0,2,male,0
1,2,male,0
1,3,female,0
1,1,male,0
0,3,female,3
1,3,female,1
0,3,male,0
0,1,male,3
1,3,female,0
0,3,male,0
0,1,male,0
1,1,female,1
1,3,female,0
0,2,male,0
0,1,male,1
0,1,male,1
1,3,male,0
0,3,male,0
0,3,female,2
1,3,female,1
0,3,female,1
0,2,female,1
1,2,female,1
1,3,female,0
0,3,male,0
0,3,male,1
1,3,female,0
0,3,male,2
0,3,female,1
0,3,male,4
0,3,male,0
1,1,female,1
1,2,female,1
0,1,male,0
1,1,male,0
1,2,female,0
0,3,male,0
1,2,female,1
0,3,male,5
0,3,male,0
1,1,female,0
0,1,male,1
0,3,male,3
0,1,male,0
1,3,male,1
1,2,female,0
0,3,male,0
1,3,female,4
0,3,male,2
0,2,male,0
0,3,female,5
0,2,male,0
0,3,male,1
1,3,male,0
0,3,male,0
0,3,male,0
0,3,male,0
1,2,male,0
1,3,female,0
0,3,male,0
1,3,male,0
1,3,female,0
0,1,male,0
1,2,female,0
1,3,female,3
0,3,male,1
0,3,male,0
1,1,female,3
0,3,male,0
0,3,male,0
0,3,male,0
0,1,male,1
0,3,male,1
0,3,male,0
0,3,male,0
0,1,male,0
1,1,male,0
1,2,female,0
0,2,male,1
0,3,female,0
0,3,male,0
0,1,male,0
0,3,male,0
0,3,male,2
0,3,male,0
1,3,female,0
1,3,male,0
0,3,male,0
1,3,female,1
0,1,male,0
0,3,female,1
0,3,male,0
0,3,female,1
0,3,female,0
0,3,male,0
0,3,male,0
0,2,male,1
0,1,male,0
0,3,female,4
0,2,male,2
0,3,male,0
0,2,male,1
1,2,female,0
0,1,male,0
1,3,male,1
0,3,male,0
1,3,male,0
1,3,female,1
0,3,male,0
0,3,male,0
0,3,male,0
0,3,female,1
1,2,female,1
0,2,male,0
0,2,male,0
1,1,female,0
0,1,male,1
0,3,male,0
0,1,male,0
0,3,female,0
1,3,female,0
1,3,female,1
0,3,male,0
0,2,male,0
0,2,male,1
1,3,male,0
0,3,female,2
0,2,male,0
0,2,male,0
0,2,male,0
1,1,female,1
0,3,male,0
0,3,male,0
0,3,male,0
0,1,male,0
1,3,female,0
0,3,male,0
0,3,male,0
0,3,male,8
0,3,male,0
1,2,female,0
0,3,male,0
0,3,male,0
0,3,male,4
1,3,male,0
1,1,female,0
0,3,female,1
0,1,male,0
0,3,male,0
0,1,male,0
0,3,male,4
1,3,female,1
0,3,male,0
0,1,male,0
0,3,male,1
0,3,male,3
0,1,female,0
0,2,male,0
0,3,male,0
0,3,female,8
0,2,male,0
0,3,male,4
1,2,male,2
1,3,female,0
0,1,male,0
1,3,female,1
1,1,male,0
0,3,male,1
0,3,male,0
1,2,female,0
0,2,male,0
1,3,female,1
1,2,male,1
1,1,female,0
1,1,female,0
0,3,male,0
0,3,male,0
1,3,female,0
0,2,female,0
0,3,male,0
0,3,male,8
0,3,male,0
0,3,male,0
1,3,male,0
0,3,female,0
0,3,male,1
1,3,male,0
1,3,female,0
1,1,male,0
0,3,male,0
1,2,female,0
0,3,male,0
0,2,male,0
0,3,male,1
1,1,female,1
1,3,female,0
0,2,male,1
1,1,female,0
0,2,male,0
1,3,male,0
0,2,male,0
0,3,male,0
0,3,male,0
1,1,male,1
0,3,male,0
1,2,male,0
0,3,male,0
0,2,male,0
0,3,female,3
1,1,female,1
0,3,male,0
0,2,male,0
1,3,female,4
0,2,male,0
0,3,female,0
0,2,male,1
1,2,female,0
0,2,male,0
0,2,male,0
0,3,female,1
1,3,female,1
0,2,male,0
0,3,male,0
0,3,male,0
0,1,male,2
0,3,female,0
1,2,female,0
1,1,male,1
0,2,male,1
0,3,male,0
0,3,female,1
0,1,male,0
0,3,male,1
0,3,female,0
1,3,female,0
1,1,female,0
1,1,female,0
1,1,female,0
1,2,female,0
1,3,male,4
0,1,male,1
0,1,male,0
0,3,female,0
0,2,male,0
0,3,male,4
1,3,male,1
1,1,female,0
1,1,female,0
0,1,male,0
1,3,male,0
1,2,female,0
0,1,male,0
1,3,female,0
1,1,female,1
0,3,female,0
0,2,male,0
0,3,male,4
1,3,female,1
0,3,male,0
0,3,male,0
0,3,male,0
1,3,male,0
0,1,male,0
0,3,male,0
1,3,male,0
0,3,male,0
1,2,male,0
1,3,female,0
1,1,female,0
1,1,female,1
0,2,male,0
0,3,female,0
0,3,male,0
0,1,male,0
0,3,male,0
0,1,female,1
1,1,male,0
1,1,female,0
1,3,female,0
1,3,male,2
0,3,male,0
1,2,female,0
0,3,male,0
1,1,male,1
1,1,female,0
1,1,female,1
0,2,male,1
1,1,female,0
1,1,female,0
1,1,female,2
0,2,female,1
0,3,male,0
0,2,male,1
1,3,female,0
1,2,female,1
0,2,male,0
1,1,female,0
1,1,female,1
0,3,male,0
0,3,male,0
1,2,female,0
1,2,female,1
0,3,male,8
1,1,female,0
0,3,male,0
1,2,female,0
1,3,female,1
1,1,female,0
1,3,female,2
0,1,male,0
0,1,male,0
0,3,male,2
1,1,female,1
0,3,male,0
0,1,male,1
1,1,female,0
1,3,male,0
0,1,male,0
1,2,male,1
1,1,female,3
0,2,male,0
0,2,male,0
0,2,male,0
1,2,female,0
1,2,female,0
1,3,female,1
1,3,male,1
0,3,male,0
0,3,male,0
0,1,male,0
0,3,male,1
0,3,male,1
0,3,male,0
0,3,male,0
1,1,female,0
0,2,female,0
1,3,female,0
1,3,female,0
0,3,male,1
0,2,male,1
0,3,female,0
0,3,male,0
0,3,male,1
0,3,male,0
1,1,female,1
1,3,female,0
1,3,female,0
1,1,female,0
1,1,male,1
0,3,male,1
0,3,male,0
0,1,male,0
0,3,female,3
1,1,female,1
1,3,female,0
0,1,male,0
0,3,male,0
0,3,male,0
1,1,female,0
1,3,female,0
0,3,male,0
1,1,female,1
0,3,male,0
0,2,male,0
0,3,male,5
1,2,female,0
0,3,male,0
1,2,female,0
1,1,male,1
1,3,male,0
0,3,male,2
1,1,female,1
1,3,female,0
0,3,male,0
0,3,female,0
0,2,male,0
0,2,male,0
1,2,female,0
1,3,male,0
0,3,male,0
0,3,female,1
0,3,male,1
0,3,female,0
0,2,male,1
0,3,male,0
1,2,male,1
0,3,male,0
0,3,female,3
0,3,male,0
0,3,male,0
1,1,female,1
0,2,male,0
1,3,male,0
0,3,female,0
1,2,female,1
1,2,female,0
0,2,male,0
0,3,female,0
0,3,male,0
0,3,male,0
0,3,female,1
0,3,male,1
0,3,male,0
1,2,female,1
1,2,female,0
0,3,male,0
1,3,male,0
1,1,male,0
1,3,female,1
1,2,female,1
0,3,male,0
0,1,male,1
1,1,female,1
0,3,female,2
1,2,female,2
0,1,male,1
0,2,male,0
1,2,female,1
0,3,male,0
0,3,male,1
1,2,female,0
1,3,male,0
1,1,male,0
1,2,female,0
1,1,male,0
1,3,female,2
1,1,male,0
0,2,male,1
0,3,male,1
0,1,male,0
1,1,male,1
0,3,male,0
1,3,male,0
0,1,male,0
1,1,female,1
1,2,female,0
0,3,male,0
1,1,male,0
0,3,male,0
0,1,male,0
0,2,male,0
0,3,male,0
0,3,male,0
0,2,male,0
0,1,male,0
0,3,male,0
1,3,female,2
0,3,male,0
0,3,male,0
1,2,female,1
1,2,female,0
0,3,female,0
0,1,male,0
0,2,male,1
0,3,male,1
0,3,male,0
1,3,female,0
0,3,male,5
0,2,male,0
0,3,male,0
1,3,female,0
1,1,male,1
0,3,female,3
1,1,female,1
0,1,male,0
0,3,male,0
1,3,male,1
0,3,male,1
0,3,male,0
0,1,male,0
0,1,male,0
0,3,male,0
0,3,male,0
1,1,female,1
0,3,male,0
0,1,female,1
0,3,male,0
0,3,male,0
0,3,female,0
0,3,female,0
0,3,female,0
1,1,female,0
0,1,male,1
1,2,female,0
1,1,male,0
0,3,male,0
1,3,male,0
1,3,male,0
0,3,male,0
1,1,male,0
1,1,female,1
0,3,male,0
0,1,male,0
1,2,female,0
0,3,male,0
1,2,female,1
0,3,male,0
1,1,female,0
0,3,male,0
0,3,male,0
1,1,female,0
0,3,male,0
0,3,male,0
1,2,female,0
0,1,male,0
0,3,male,0
0,2,male,2
1,2,female,1
0,3,male,0
0,3,male,1
1,3,female,0
0,3,female,0
1,2,female,0
0,1,male,0
1,1,female,0
0,3,male,0
1,1,female,0
1,1,female,0
0,3,female,4
0,3,female,4
1,2,male,1
0,1,male,1
0,1,male,0
1,2,female,1
1,2,male,0
0,3,male,1
1,2,male,1
1,1,male,0
0,2,male,0
0,3,male,0
1,3,male,0
1,3,female,0
0,1,male,0
1,1,female,1
0,1,male,0
1,1,female,1
1,3,female,1
0,3,male,0
0,3,male,0
0,2,male,0
0,3,male,0
0,3,female,0
0,3,male,2
0,3,male,0
0,3,female,0
0,3,male,0
1,3,male,0
1,2,male,0
1,1,female,2
1,1,male,0
1,3,female,0
0,3,male,0
0,3,male,0
1,2,female,0
1,1,female,1
0,3,female,1
1,3,male,0
1,2,female,1
1,1,female,1
0,2,male,0
0,1,male,0
0,3,male,0
1,1,female,0
0,2,male,0
1,1,male,1
0,3,male,0
0,3,male,0
0,3,male,0
1,1,female,1
0,3,male,0
0,3,female,0
0,2,male,1
0,3,male,1
1,2,female,0
0,3,male,0
0,3,male,0
1,1,male,1
1,2,female,2
0,3,male,0
0,1,male,0
0,3,male,0
1,1,male,0
0,3,male,1
0,3,male,0
1,1,male,0
1,2,female,1
1,1,female,0
0,3,female,1
0,3,male,0
1,3,female,1
0,3,male,0
0,3,male,0
1,2,female,1
0,3,male,1
0,3,female,1
1,2,female,2
0,2,male,0
0,3,male,1
1,1,male,1
1,3,male,1
0,3,male,0
0,3,male,0
0,1,male,0
0,2,male,0
1,1,female,0
0,3,male,0
0,3,male,0
1,1,male,0
0,3,male,0
1,1,male,0
0,1,male,0
0,3,female,3
1,2,female,0
0,3,male,0
0,2,male,1
0,3,female,0
0,3,male,1
0,3,male,0
1,1,female,0
0,3,female,3
1,3,male,0
1,3,female,2
1,1,male,1
0,3,male,0
1,1,male,0
0,3,male,0
1,3,female,0
0,3,male,0
1,2,female,0
0,3,male,0
1,3,female,0
0,3,female,0
0,2,male,2
0,3,male,0
0,3,female,1
0,2,male,0
0,1,male,0
1,1,male,2
0,3,male,0
0,1,male,0
0,3,male,0
1,3,male,1
0,2,male,2
0,2,male,0
0,3,male,0
0,3,male,0
1,1,female,1
1,2,female,1
0,1,male,1
0,2,male,0
1,2,male,0
0,2,male,0
0,3,male,0
0,3,male,0
1,3,female,0
0,3,female,1
1,1,male,0
0,3,female,0
1,1,male,0
0,3,male,0
0,3,male,5
0,2,male,1
0,2,male,1
0,3,male,4
0,3,male,0
0,3,male,0
1,1,female,0
1,1,male,1
1,3,female,0
1,3,male,0
0,3,male,0
0,1,male,0
0,2,male,0
0,3,male,0
1,3,female,0
0,1,male,1
0,3,male,0
1,1,female,1
1,1,male,0
0,3,female,0
0,3,male,0
0,3,male,1
0,2,male,0
1,2,female,0
1,1,male,0
1,1,female,0
1,3,male,1
1,1,female,0
0,1,male,0
1,1,male,1
0,3,male,0
0,2,male,0
0,3,male,0
1,1,female,0
1,2,female,0
0,3,male,0
1,2,female,0
0,3,male,1
0,2,male,0
0,2,male,0
1,1,male,1
0,3,male,0
1,2,female,3
1,3,female,0
0,2,male,1
0,3,female,1
1,1,female,0
0,3,male,0
0,2,male,0
0,2,male,0
0,2,male,0
0,3,male,0
0,3,female,1
1,1,male,0
0,3,male,0
0,3,male,0
1,1,male,0
0,1,male,1
1,1,female,2
0,3,male,1
1,3,male,0
0,1,male,1
0,3,male,1
1,2,female,0
0,1,male,1
0,3,male,0
1,2,female,1
1,3,male,0
0,3,male,0
0,3,male,0
1,2,female,1
1,2,male,1
0,3,male,0
0,2,male,0
0,3,male,0
1,1,female,0
0,3,male,0
0,3,male,0
1,3,male,0
1,1,female,1
0,3,male,0
1,1,female,1
0,1,male,0
0,3,female,0
0,3,male,1
0,3,male,0
0,3,male,0
0,3,male,0
0,2,female,0
0,3,male,0
1,2,female,1
0,3,male,0
0,3,male,0
1,3,female,0
0,3,male,0
1,1,female,0
1,3,female,0
1,1,female,1
0,1,male,0
0,3,male,1
0,3,male,0
0,3,male,0
1,3,female,0
0,3,male,4
1,3,male,1
0,1,male,0
0,3,male,0
0,2,male,0
0,3,female,8
0,1,male,0
0,3,male,0
0,2,male,0
1,1,female,0
1,3,female,0
0,3,male,0
0,3,female,1
0,2,male,0
1,2,female,1
1,1,male,1
1,3,male,0
1,3,male,0
0,3,male,0
0,1,male,0
0,3,female,0
0,2,male,0
1,1,female,1
0,3,male,0
0,3,male,0
0,2,male,0
0,3,female,4
0,3,male,0
0,1,male,0
0,3,female,0
0,2,male,1
0,3,male,0
0,3,male,3
1,1,female,1
1,3,male,0
0,1,male,0
1,3,female,0
0,3,male,4
0,3,male,0
0,3,male,0
1,2,male,0
1,3,male,0
1,1,female,0
1,3,female,1
1,2,male,1
0,3,male,0
0,3,male,0
0,3,male,0
1,1,female,1
0,3,male,0
0,3,male,0
1,3,male,0
1,1,male,0
0,3,male,0
0,2,male,0
1,1,female,0
0,3,male,0
0,3,male,0
0,3,male,0
0,3,male,8
0,3,male,0
0,2,male,0
1,1,female,1
0,3,male,4
0,3,male,0
0,3,female,1
1,1,female,0
0,2,female,1
1,3,female,0
1,1,female,1
1,1,male,0
1,3,female,0
0,3,male,0
0,3,male,2
0,2,male,1
1,1,female,0
0,3,female,8
0,2,male,0
1,2,female,0
1,2,female,1
0,1,male,0
0,3,male,0
1,3,male,1
0,3,male,0
1,1,female,1
0,1,male,0
0,3,male,0
1,2,female,1
1,3,female,0
0,3,male,0
0,3,male,0
0,3,male,0
1,1,female,0
1,2,female,0
0,3,male,0
0,3,female,0
0,2,male,0
0,3,male,0
0,3,female,0
0,2,male,0
1,1,female,0
0,3,female,1
1,1,male,0
0,3,male,0